formula,defectid,site,Eb_sum,Vr_max,Eg,Ev,Ehull
Al2Co1O4,0009491,1,9.53490345513868,-1.2318970816502175,3.1976,6.2195,0.0
Al2Mg1O4,0009494,1,9.57829175961136,-2.8945619964631555,5.1431,6.8115,0.0
Al2Ni1O4,0009499,1,9.044684796584827,-1.242157708529182,2.6004,6.2466,0.0
Al2Ni1O4,0009499,2,7.907089281984362,-1.242157708529182,2.6004,5.5104,0.0
Al2O3,0009540,1,10.268287578405301,-2.8945619964631555,5.8646,6.995,0.0
Al2Mn1O4,0009572,1,9.562364914962588,-1.994603679653242,3.0524,6.1385,0.0
Al2O3,0009576,1,10.268287578405301,-2.8945619964631555,5.8647,6.995,0.0
Ba1O1,0009594,1,10.1806561538994,-2.8403280769497066,2.095,5.6919,0.0
Ca1O1,0009596,1,11.02027475298438,-3.2905001259273035,3.6404,6.9863,0.0
Co3O4,0009648,1,,-1.2318970816502175,1.6478,4.1201,0.0
Fe1O1,0009684,1,8.988367343211575,-1.41,1.089,5.0763,0.0
Fe2Mg1O4,0009694,1,7.529079695394303,-1.2626789622871115,1.3811,4.2252,0.04170000000000007
Fe2O3,0009808,1,7.862946519378246,-1.2626789622871115,1.8317,3.5343,0.0
In2Mn1O4,0009859,1,6.87037770017205,-1.5993795332042406,1.035,4.2135,0.0
In2O3,0009889,1,7.332995864895065,-1.5993795332042406,0.9505,3.7275,0.0
Co1In2O4,0009921,1,6.919981119195061,-1.2318970816502175,1.0102,4.052,0.0
In2Mg1O4,0009931,1,6.7061022156494285,-1.5993795332042406,1.8489,4.4126,0.0
In2Ni1O4,0009944,1,7.039773496291097,-1.242157708529182,0.4499,3.6058,0.0
In2Ni1O4,0009944,2,6.794777352351572,-1.242157708529182,0.4499,3.4805,0.0
Mg1O1,0009973,1,10.34514457614648,-3.116950431898758,4.4752,6.8887,0.0
Ni1O1,0010021,1,9.524315417058359,-1.242157708529182,2.3894,3.7973,0.0
O1Sr1,0010079,1,10.45564758822924,-3.0678237941146254,3.2796,6.5707,0.0
Ba1O3Ti1,0010375,1,8.74095775041371,-1.9122077365342869,1.8599,5.3369,0.0
Ba1O3Ti1,0010375,2,9.79646351652415,-1.9122077365342869,1.8599,5.4037,0.0
Co1O1,0010389,1,6.278867708495606,-1.2318970816502175,1.0462,4.2751,0.0020999999999999908
Mn1O1,0010438,1,6.339471572871,-1.994603679653242,0.7035,4.4315,0.0015999999999998238
Co1O1,0010528,1,6.30239125193928,-1.2318970816502175,1.2341,4.3434,0.0
O3Sr1Ti1,0010541,1,9.974515063486352,-1.9122077365342869,1.9408,5.396,0.0
O2Ti1,0010549,1,9.809503279753722,-1.9122077365342869,2.2705,4.9268,0.0
Mn1O1,0010576,1,6.322739833066858,-1.994603679653242,0.8642,4.4297,0.0
O2Ti1,0010720,1,9.898421478632223,-1.9122077365342869,1.9186,4.9636,0.02090000000000014
O2Ti1,0010731,1,6.610935342245685,-1.9122077365342869,3.3933,5.9328,0.08420000000000005
Mg1Mn2O4,0011233,1,7.172572426286051,-0.5156224113418986,1.4257,4.1736,0.0
Fe2Ni1O4,0011580,1,7.714190344060777,-1.242157708529182,1.2021,3.7345,0.1060000000000001
Fe2Ni1O4,0011580,2,7.719993177571359,-1.242157708529182,1.2021,3.5181,0.1060000000000001
Mn1O2,0011671,1,6.7593740107336195,-0.433744681701679,0.1764,2.0859,0.021099999999999897
O2Ti1,0011764,1,9.575192839554548,-1.9122077365342869,2.2989,4.9109,0.013199999999999878
O2Ti1,0011764,2,9.715280548075935,-1.9122077365342869,2.2989,5.3669,0.013199999999999878
Mn2Ni1O4,0011908,1,7.058572632919296,-0.5156224113418986,1.162,3.539,0.021600000000000064
Mn2Ni1O4,0011908,2,6.953669340458718,-0.5156224113418986,1.162,3.5487,0.021600000000000064
Fe2Mg1O4,0011911,1,7.440837811164876,-1.2626789622871115,1.1513,3.8945,0.0
Fe2Mg1O4,0011911,2,7.6829098175613115,-1.2626789622871115,1.1513,3.772,0.0
Mn1Ni1O3,0012011,1,7.2754463939600935,-0.433744681701679,1.5539,2.704,0.014399999999999968
Mn1Ni1O3,0012072,1,7.247269184815842,-0.433744681701679,1.513,2.8808,0.0
Ba1Mn1O2,0012370,1,6.7218689840652495,-1.994603679653242,1.7167,5.1318,0.0
Al2Ca1O4,0107269,1,7.667674408309026,-2.8945619964631555,4.3548,6.4142,0.0
Al2Ca1O4,0107269,2,6.760633259960627,-2.8945619964631555,4.3548,6.185,0.0
Al2Ca1O4,0107269,3,6.7804008278909125,-2.8945619964631555,4.3548,6.3263,0.0
Al2Ca1O4,0107269,4,7.535071639656696,-2.8945619964631555,4.3548,6.2954,0.0
Al2Ca1O4,0107269,5,7.6206886303769,-2.8945619964631555,4.3548,6.4336,0.0
Al2Ca1O4,0107269,6,6.699788676800385,-2.8945619964631555,4.3548,6.2966,0.0
Al2Ca1O4,0107269,7,7.41447688737667,-2.8945619964631555,4.3548,6.2656,0.0
Al2Ca1O4,0107269,8,7.129957924280031,-2.8945619964631555,4.3548,6.3068,0.0
Al2Ca1O4,0107269,9,6.854570106059228,-2.8945619964631555,4.3548,6.1267,0.0
Al2Ca1O4,0107269,10,6.798130199811052,-2.8945619964631555,4.3548,6.3209,0.0
Al2Ca1O4,0107269,11,6.927992919367776,-2.8945619964631555,4.3548,6.3739,0.0
Al2Ca1O4,0107269,12,7.140008633274943,-2.8945619964631555,4.3548,6.2817,0.0
Al4Ca1O7,0107702,1,7.168426710921615,-2.8945619964631555,4.0231,6.2426,0.0
Al4Ca1O7,0107702,2,7.181677662335566,-2.8945619964631555,4.0231,6.3909,0.0
Al4Ca1O7,0107702,3,6.668093292161269,-2.8945619964631555,4.0231,6.2107,0.0
Al4Ca1O7,0107702,4,7.914676427500801,-2.8945619964631555,4.0231,6.7006,0.0
Al2Ca2O5,0107847,1,8.336578601367473,-2.8945619964631555,3.5745,6.0239,0.0
Al2Ca2O5,0107847,2,8.109646268567046,-2.8945619964631555,3.5745,6.5147,0.0
Al2Ca2O5,0107847,3,10.056828267896304,-2.8945619964631555,3.5745,6.6988,0.0
Al6Ca5O14,0107855,1,8.115907265525802,-2.8945619964631555,4.2323,6.6404,0.0
Al6Ca5O14,0107855,2,6.645732880047838,-2.8945619964631555,4.2323,6.1511,0.0
Al6Ca5O14,0107855,3,7.699431439296864,-2.8945619964631555,4.2323,6.3502,0.0
Al6Ca5O14,0107855,4,7.964111674878809,-2.8945619964631555,4.2323,6.5272,0.0
Al6Ca5O14,0107855,5,8.082445459805367,-2.8945619964631555,4.2323,6.5428,0.0
Al6Ca5O14,0107855,6,6.777048881582212,-2.8945619964631555,4.2323,6.2626,0.0
Al6Ca5O14,0107855,7,7.140888565778322,-2.8945619964631555,4.2323,6.1399,0.0
Al6Ca5O14,0107855,8,6.514447890915639,-2.8945619964631555,4.2323,6.1143,0.0
Al6Ca5O14,0107855,9,7.03575691294283,-2.8945619964631555,4.2323,6.3765,0.0
Al2Ba1O4,0108143,1,6.829762921799871,-2.8403280769497066,4.1114,6.1846,0.0
Al2Ba1O4,0108143,2,6.804135735140461,-2.8403280769497066,4.1114,6.1484,0.0
Al2Ba1O4,0108143,3,6.8595256917889085,-2.8403280769497066,4.1114,6.1849,0.0
Al2Ba1O4,0108143,4,6.885349887604643,-2.8403280769497066,4.1114,6.1409,0.0
Al2Ba1O4,0108143,5,6.909099231667062,-2.8403280769497066,4.1114,6.0963,0.0
Al2Ba1O4,0108143,6,7.306112867422523,-2.8403280769497066,4.1114,6.1325,0.0
Ba3O9Y4,0108190,1,10.000739023907812,-2.8403280769497066,3.2395,6.3296,0.0
Ba3O9Y4,0108190,2,10.166560188499155,-2.8403280769497066,3.2395,6.129,0.0
Ba3O9Y4,0108190,3,10.85800618379857,-2.8403280769497066,3.2395,6.1053,0.0
Al2O5Ti1,0108321,1,11.503223937384078,-1.9122077365342869,3.0905,5.8592,0.0
Al2O5Ti1,0108321,2,8.528755297766185,-1.9122077365342869,3.0905,6.3778,0.0
Al2O5Ti1,0108321,3,10.253107451891212,-1.9122077365342869,3.0905,6.4249,0.0
Al4O7Sr1,0108427,1,6.415741855201263,-2.8945619964631555,3.7524,6.1601,0.0
Al4O7Sr1,0108427,2,7.160569524738108,-2.8945619964631555,3.7524,6.3726,0.0
Al4O7Sr1,0108427,3,6.400434747951971,-2.8945619964631555,3.7524,6.1625,0.0
Al4O7Sr1,0108427,4,7.916527497118591,-2.8945619964631555,3.7524,6.7311,0.0
Al5O12Y3,0108446,1,9.140841807895521,-2.8945619964631555,4.8435,6.6039,0.0
Al1O3Y1,0108689,1,10.077266852989379,-2.8945619964631555,3.3479,3.5762,0.0
Al1O3Y1,0108689,2,9.825688710513564,-2.8945619964631555,3.3479,5.1251,0.0
Ba1O4Y2,0108927,1,11.256670781623889,-2.8403280769497066,3.4285,6.5688,0.0
Ba1O4Y2,0108927,2,11.866232515489033,-2.8403280769497066,3.4285,6.5873,0.0
Ba1O4Y2,0108927,3,11.099754070296656,-2.8403280769497066,3.4285,6.6636,0.0
Ba1O4Y2,0108927,4,11.681797848222013,-2.8403280769497066,3.4285,6.6262,0.0
Al2O4Sr1,0108933,1,7.179666577485657,-2.8945619964631555,4.1372,6.2968,0.0
Al2O4Sr1,0108933,2,7.201653235190142,-2.8945619964631555,4.1372,6.2432,0.0
Al2O4Sr1,0108933,3,6.549932303939136,-2.8945619964631555,4.1372,6.2372,0.0
Al2O4Sr1,0108933,4,7.402900312475365,-2.8945619964631555,4.1372,6.3469,0.0
Al2O4Sr1,0108933,5,6.6035144517838935,-2.8945619964631555,4.1372,6.263,0.0
Al2O4Sr1,0108933,6,6.89956053263511,-2.8945619964631555,4.1372,6.3343,0.0
Al2O4Sr1,0108933,7,7.198965635427474,-2.8945619964631555,4.1372,6.2482,0.0
Al2O4Sr1,0108933,8,6.909538404470714,-2.8945619964631555,4.1372,6.2083,0.0
Al2O9Y4,0109092,1,7.36160502663421,-2.8945619964631555,4.122,6.1713,0.0
Al2O9Y4,0109092,2,7.84574041075628,-2.8945619964631555,4.122,6.1876,0.0
Al2O9Y4,0109092,3,12.016510735025175,-3.290655589970924,4.122,6.7059,0.0
Al2O9Y4,0109092,4,11.94588568976549,-3.290655589970924,4.122,6.7954,0.0
Al2O9Y4,0109092,5,9.275613339892486,-2.8945619964631555,4.122,6.3322,0.0
Al2O9Y4,0109092,6,8.915199599135251,-2.8945619964631555,4.122,6.1492,0.0
Al2O9Y4,0109092,7,9.125977365544042,-2.8945619964631555,4.122,6.1696,0.0
Al2O9Y4,0109092,8,9.066164396795235,-2.8945619964631555,4.122,6.2906,0.0
Al2O9Y4,0109092,9,9.251577899308511,-2.8945619964631555,4.122,5.7929,0.0
Ba1O5Ti2,0109333,1,5.950671452374635,-1.9122077365342869,2.9058,5.5111,0.0
Ba1O5Ti2,0109333,2,10.387668175894392,-1.9122077365342869,2.9058,5.4485,0.0
Ba1O5Ti2,0109333,3,7.052787590388651,-1.9122077365342869,2.9058,5.8221,0.0
Ba1O5Ti2,0109333,4,8.375145447995564,-1.9122077365342869,2.9058,6.0078,0.0
Ba1O5Ti2,0109333,5,10.383315078631895,-1.9122077365342869,2.9058,5.5756,0.0
Ba4O30Ti13,0109458,1,8.371266803694748,-1.9122077365342869,2.6742,5.8796,0.0
Ba4O30Ti13,0109458,2,10.487262035592844,-1.9122077365342869,2.6742,5.5618,0.0
Ba4O30Ti13,0109458,3,11.95375172413648,-1.9122077365342869,2.6742,5.454,0.0
Ba4O30Ti13,0109458,4,10.751002050817767,-1.9122077365342869,2.6742,5.573,0.0
Ba4O30Ti13,0109458,5,7.767733563350025,-1.9122077365342869,2.6742,5.0833,0.0
Ba4O30Ti13,0109458,6,7.353284538451951,-1.9122077365342869,2.6742,5.4196,0.0
Ba4O30Ti13,0109458,7,10.213934347015861,-1.9122077365342869,2.6742,5.2835,0.0
Ba4O30Ti13,0109458,8,7.71813952050427,-1.9122077365342869,2.6742,5.0505,0.0
Ba4O30Ti13,0109458,9,9.87588289780529,-1.9122077365342869,2.6742,5.9937,0.0
In1O3Y1,0109668,1,10.569515789975558,-1.5993795332042406,2.0438,4.5724,0.0
In1O3Y1,0109668,2,10.221969101673954,-1.5993795332042406,2.0438,4.4242,0.0
In1O3Y1,0109668,3,8.30170936865858,-1.5993795332042406,2.0438,3.9393,0.0
In1O3Y1,0109668,4,7.924867830317146,-1.5993795332042406,2.0438,3.7667,0.0
Ba3In2O6,0109684,1,8.036540027724474,-1.5993795332042406,0.8592,3.6078,0.0
Ba3In2O6,0109684,2,7.14121874639538,-1.5993795332042406,0.8592,3.9611,0.0
Ca3O7Ti2,0109710,1,9.913427910362126,-1.9122077365342869,2.5897,5.5141,0.0
Ca3O7Ti2,0109710,2,8.293757818362533,-1.9122077365342869,2.5897,5.7494,0.0
Ca3O7Ti2,0109710,3,10.429741750671106,-1.9122077365342869,2.5897,5.7714,0.0
Ca3O7Ti2,0109710,4,10.157001882445684,-1.9122077365342869,2.5897,5.9078,0.0
Ca1In2O4,0109770,1,7.115055287634127,-1.5993795332042406,2.02,4.4374,0.0
In2O5Ti1,0110156,1,6.140643353615101,-1.5993795332042406,1.9703,4.4726,0.0
In2O5Ti1,0110156,2,8.408782235188482,-1.5993795332042406,1.9703,4.0504,0.0
In2O5Ti1,0110156,3,8.220740617604186,-1.5993795332042406,1.9703,4.1145,0.0
In2O5Ti1,0110156,4,7.244534906756226,-1.5993795332042406,1.9703,3.9906,0.0
In2O5Ti1,0110156,5,8.749311231134723,-1.5993795332042406,1.9703,4.7203,0.0
Ba2In2O5,0110289,1,8.162910568541529,-1.5993795332042406,0.9164,3.8319,0.0
Ba2In2O5,0110289,2,6.84398868612098,-1.5993795332042406,0.9164,3.0675,0.0
Ba2In2O5,0110289,3,6.53039490015007,-1.5993795332042406,0.9164,3.5441,0.0
In1La1O3,0110733,1,9.322552282073005,-1.5993795332042406,2.647,4.7424,0.0
In1La1O3,0110733,2,9.990089023221797,-1.5993795332042406,2.647,4.6469,0.0
La2O5Ti1,0110854,1,9.616242612369543,-1.9122077365342869,3.4608,6.2634,0.0
La2O5Ti1,0110854,2,7.15289611244455,-1.9122077365342869,3.4608,6.0535,0.0
La2O5Ti1,0110854,3,10.603334567118996,-1.9122077365342869,3.4608,5.6119,0.0
La2O5Ti1,0110854,4,11.489582820212158,-3.100471243274967,3.4608,6.7189,0.0
La2O5Ti1,0110854,5,10.08021957753617,-1.9122077365342869,3.4608,5.9992,0.0
La4O12Ti3,0111085,1,8.968161993809124,-1.9122077365342869,3.0176,5.8879,0.0
La4O12Ti3,0111085,2,11.132455885473256,-1.9122077365342869,3.0176,5.7683,0.0
In2O4Sr1,0111316,1,8.3555513890278,-1.5993795332042406,1.8126,4.4539,0.0
In2O4Sr1,0111316,2,8.804304053839251,-1.5993795332042406,1.8126,4.4839,0.0
In2O4Sr1,0111316,3,7.93521956288211,-1.5993795332042406,1.8126,4.2635,0.0
In2O4Sr1,0111316,4,8.436209645097135,-1.5993795332042406,1.8126,4.3469,0.0
O7Sr3Ti2,0111479,1,10.121065074271035,-1.9122077365342869,2.0175,5.1173,0.0
O7Sr3Ti2,0111479,2,8.472798507585173,-1.9122077365342869,2.0175,5.393,0.0
O7Sr3Ti2,0111479,3,10.243628550057322,-1.9122077365342869,2.0175,5.4334,0.0
La1O3Y1,0111508,1,11.698733830453218,-3.100471243274967,4.4902,6.6611,0.0
La1O3Y1,0111508,2,11.287870422828163,-3.100471243274967,4.4902,6.5344,0.0
La2O3,0111542,1,11.622162175102506,-3.100471243274967,3.4842,6.5007,0.0
La2O7Ti2,0111567,1,10.438642374817002,-1.9122077365342869,2.9208,5.9762,0.0
La2O7Ti2,0111567,2,11.246296876012005,-1.9122077365342869,2.9208,5.71,0.0
La2O7Ti2,0111567,3,11.135590664397423,-1.9122077365342869,2.9208,5.684,0.0
La2O7Ti2,0111567,4,11.0832901510303,-1.9122077365342869,2.9208,5.7062,0.0
La2O7Ti2,0111567,5,8.413313257947355,-1.9122077365342869,2.9208,5.7495,0.0
La2O7Ti2,0111567,6,8.330433186785335,-1.9122077365342869,2.9208,5.7906,0.0
La2O7Ti2,0111567,7,10.590648350930012,-1.9122077365342869,2.9208,6.0004,0.0
La2O7Ti2,0111567,8,10.684244422914379,-1.9122077365342869,2.9208,5.9466,0.0
La2O7Ti2,0111567,9,8.864904265615724,-1.9122077365342869,2.9208,6.2802,0.0
La2O7Ti2,0111567,10,7.289569731485685,-1.9122077365342869,2.9208,5.7207,0.0
La2O7Ti2,0111567,11,9.116211376669714,-1.9122077365342869,2.9208,5.8706,0.0
La2O7Ti2,0111567,12,9.173278418008938,-1.9122077365342869,2.9208,6.1468,0.0
La2O7Ti2,0111567,13,10.227344174978452,-1.9122077365342869,2.9208,5.5873,0.0
La2O7Ti2,0111567,14,10.159571950076208,-1.9122077365342869,2.9208,5.9513,0.0
O4Sr1Y2,0111982,1,11.541403495147332,-3.0678237941146254,3.9198,6.6199,0.0
O4Sr1Y2,0111982,2,12.134038230290283,-3.0678237941146254,3.9198,6.6208,0.0
O4Sr1Y2,0111982,3,11.133070398588089,-3.0678237941146254,3.9198,6.6705,0.0
O4Sr1Y2,0111982,4,11.978079554064445,-3.0678237941146254,3.9198,6.6572,0.0
O7Ti2Y2,0112035,1,10.595929622090363,-1.9122077365342869,2.8858,5.5218,0.0
O7Ti2Y2,0112035,2,12.0946445132752,-3.290655589970924,2.8858,6.9369,0.0
O5Ti1Y2,0112334,1,11.940386596999852,-3.290655589970924,3.4185,6.5839,0.0
O5Ti1Y2,0112334,2,10.556144810622882,-1.9122077365342869,3.4185,6.2371,0.0
O5Ti1Y2,0112334,3,10.716066342086798,-1.9122077365342869,3.4185,5.8786,0.0
O5Ti1Y2,0112334,4,7.649403315658953,-1.9122077365342869,3.4185,6.1246,0.0
O5Ti1Y2,0112334,5,11.014732299342231,-1.9122077365342869,3.4185,5.658,0.0
Al1Fe1O3,0113386,1,9.835116770537914,-1.2626789622871115,1.9542,4.6654,0.0
Al1Fe1O3,0113386,2,8.489797149481362,-1.2626789622871115,1.9542,5.5057,0.0
Al1Fe1O3,0113386,3,6.661015947806396,-1.2626789622871115,1.9542,3.7559,0.0
Al1Fe1O3,0113386,4,9.11157247342766,-1.2626789622871115,1.9542,4.4172,0.0
Al1Fe1O3,0113386,5,6.108476671115941,-1.2626789622871115,1.9542,3.3084,0.0
Al1Fe1O3,0113386,6,7.127603923176624,-1.2626789622871115,1.9542,5.9504,0.0
Ba1Fe1O3,0115344,1,,,0.6255,0.5393,0.0
Ba1Fe1O3,0115344,2,,,0.6255,0.5346,0.0
Ba1Fe1O3,0115344,3,,,0.6255,0.2815,0.0
Ba1Fe1O3,0115344,4,,,0.6255,0.4659,0.0
Ba1Fe1O3,0115344,5,,,0.6255,1.0307,0.0
Ba1Fe1O3,0115344,6,,,0.6255,1.2079,0.0
Ba1Fe1O3,0115344,7,,,0.6255,1.2223,0.0
Ba1Fe1O3,0115344,8,,,0.6255,1.1015,0.0
Ba1Fe1O3,0115344,9,,,0.6255,1.2119,0.0
Ba1Fe1O3,0115344,10,,-1.2626789622871115,0.6255,0.8996,0.0
Ba1Mn3O6,0117270,1,7.929325649790291,-0.433744681701679,0.0939,1.8772,0.0
Ba1Mn3O6,0117270,2,7.590442019857361,-0.5156224113418986,0.0939,1.7261,0.0
Ba1Mn3O6,0117270,3,7.8748684764875065,-0.433744681701679,0.0939,1.5426,0.0
Ba1Mn3O6,0117270,4,8.115280779725673,-0.433744681701679,0.0939,1.5668,0.0
Ba1Mn3O6,0117270,5,3.9161380883003534,-0.5156224113418986,0.0939,1.4805,0.0
Ba1Mn3O6,0117270,6,4.18113784169827,-0.433744681701679,0.0939,0.285,0.0
Ba1Mn3O6,0117270,7,5.469096799842749,-0.433744681701679,0.0939,2.3331,0.0
Ba1Mn3O6,0117270,8,5.815517416387529,-0.433744681701679,0.0939,2.3141,0.0
Ba1Mn3O6,0117270,9,6.104038991203929,-0.433744681701679,0.0939,2.5242,0.0
Ba1Mn3O6,0117270,10,5.928705524177097,-0.433744681701679,0.0939,2.3704,0.0
Ba1Mn3O6,0117270,11,,,0.0939,1.2961,0.0
Ba1Mn3O6,0117270,12,,,0.0939,1.4482,0.0
Ca2Co1O3,0117717,1,8.101215021675106,-1.2318970816502175,0.8107,4.0287,0.0
Ca2Co1O3,0117717,2,9.106482241492026,-1.2318970816502175,0.8107,4.9227,0.0
Co1Nb2O6,0119208,1,10.651221508255414,-1.2318970816502175,2.5662,6.025,0.0
Co1Nb2O6,0119208,2,7.410983313646531,-1.2318970816502175,2.5662,5.1892,0.0
Co1Nb2O6,0119208,3,13.01656687028375,-1.6041816447738562,2.5662,5.7406,0.0
Fe2O6Sr3,0124041,1,8.743259787525336,-1.2626789622871115,0.0784,3.4211,0.0
Fe2O6Sr3,0124041,2,7.037644113874798,-1.2626789622871115,0.0784,4.1241,0.0
Fe2O5Sr3,0124785,1,8.148044941792275,-1.41,0.6747,4.7267,0.0
Fe2O5Sr3,0124785,2,7.99506138487457,-1.41,0.6747,4.778,0.0
Fe2O5Sr3,0124785,3,8.267968403009391,-1.41,0.6747,5.4016,0.0
Mn1O2,0125667,1,6.752275983366621,-0.433744681701679,1.3886,2.7443,0.0
Mn1O2,0125667,2,6.755372855323318,-0.433744681701679,1.3886,2.145,0.0
Mg4Nb2O9,0126437,1,11.929283004763121,-1.6041816447738562,3.656,5.7126,0.0
Mg4Nb2O9,0126437,2,9.487105067233378,-1.6041816447738562,3.656,6.2767,0.0
La1Mn1O3,0126619,1,8.352943291152735,-0.5156224113418986,1.0121,3.7311,0.0
La1Mn1O3,0126619,2,8.900644662766714,-0.5156224113418986,1.0121,4.034,0.0
Mn1O3Sr1,0126839,1,7.726176812609001,-0.433744681701679,1.8446,2.6833,0.0
Mn1O3Sr1,0126839,2,7.619760929552068,-0.433744681701679,1.8446,2.6973,0.0
Mn1O3Sr1,0126839,3,7.766151230740224,-0.433744681701679,1.8446,1.9142,0.0
Mn1O3Sr1,0126839,4,7.605410137669457,-0.433744681701679,1.8446,1.9025,0.0
Ba1Nb2O6,0133995,1,10.838707983306925,-1.6041816447738562,2.5495,5.2003,0.0
Ba1Nb2O6,0133995,2,10.362354903878785,-1.6041816447738562,2.5495,5.4784,0.0
Ba1Nb2O6,0133995,3,10.19601195793838,-1.6041816447738562,2.5495,5.3742,0.0
Ba1Mn2O3,0134600,1,8.39159704217733,-1.994603679653242,0.7685,4.7909,0.0
Ba1Mn2O3,0134600,2,7.392510283250943,-1.994603679653242,0.7685,5.4596,0.0
Co1Mn1O3,0136261,1,7.172481050316906,-0.433744681701679,1.0907,2.7537,0.0
Co1O3Sr1,0136293,1,,,0.4887,2.4789,0.0
Co1O3Sr1,0136293,2,,,0.4887,2.8649,0.0
Co1O3Sr1,0136293,3,,,0.4887,2.7913,0.0
Co1O3Sr1,0136293,4,,,0.4887,3.1962,0.0
Co1O3Sr1,0136293,5,,,0.4887,2.8475,0.0
Co1O3Sr1,0136293,6,,,0.4887,2.38,0.0
Co1O3Sr1,0136293,7,,,0.4887,2.4032,0.0
Co1O3Sr1,0136293,8,,,0.4887,2.3349,0.0
Co1O3Sr1,0136293,9,8.039312768762562,-3.0678237941146254,0.4887,0.2835,0.0
Co1O3Sr1,0136293,10,8.06005013672847,-3.0678237941146254,0.4887,0.2988,0.0
Co1O3Sr1,0136293,11,8.006885082651111,-3.0678237941146254,0.4887,0.3353,0.0
Co1O3Sr1,0136293,12,7.975899235987861,-3.0678237941146254,0.4887,0.3052,0.0
Co1O3Ti1,0136734,1,8.873173973127551,-1.2318970816502175,2.1713,5.3321,0.0
Fe1O4Sr2,0142463,1,,,0.2288,1.9858,0.0
Fe1O4Sr2,0142463,2,,,0.2288,2.2501,0.0
Fe2O5Sr2,0143474,1,8.621625774833051,-1.2626789622871115,1.6374,3.6862,0.0
Fe2O5Sr2,0143474,2,8.68502096426224,-1.2626789622871115,1.6374,3.695,0.0
Fe2O5Sr2,0143474,3,7.630959952738626,-1.2626789622871115,1.6374,3.7262,0.0
Fe2O5Sr2,0143474,4,6.973973016670113,-1.2626789622871115,1.6374,3.674,0.0
Fe2O5Sr2,0143474,5,6.855120509160161,-1.2626789622871115,1.6374,3.4575,0.0
Fe2O5Ti1,0143825,1,7.403885696787258,-1.2626789622871115,1.8818,3.4937,0.0
Fe2O5Ti1,0143825,2,8.759702058303455,-1.2626789622871115,1.8818,3.3802,0.0
Fe2O5Ti1,0143825,3,10.242024339070966,-1.2626789622871115,1.8818,3.684,0.0
La3Nb1O7,0143911,1,9.3691428971541,-1.6041816447738562,3.0469,6.0688,0.0
